title,bestRating,ratingValue,ratingCount,country,date,budget,actors,link,ratingValue_qcut
Хористы,10.0,8.277,123958.0,Германия,2004.0,"(5500000, '€')","['Жерар Жюньо', 'Франсуа Берлеан', 'Кад Мерад', 'Жан-Поль Боннер', 'Мари Бюнель', 'Поль Шарьера', 'Кароль Вайсс', 'Филипп дю Жанеран', 'Эрик Демарец', 'Жан-Батист Монье']",/film/51481/,
После прочтения сжечь,10.0,6.858,116086.0,Франция,2008.0,"(37000000, '$')","['Джордж Клуни', 'Фрэнсис Макдорманд', 'Брэд Питт', 'Джон Малкович', 'Тильда Суинтон', 'Ричард Дженкинс', 'Элизабет Марвел', 'Дэвид Раш', 'Дж.К. Симмонс', 'Олек Крупа']",/film/309423/,
Чудо на Гудзоне,10.0,7.414,112244.0,США,2016.0,"(60000000, '$')","['Том Хэнкс', 'Аарон Экхарт', 'Валери Махаффей', 'Делфи Хэррингтон', 'Майк О’Мэлли', 'Джейми Шеридан', 'Анна Ганн', 'Холт Маккэллани', 'Ахмед Хуссэйн', 'Лора Линни']",/film/805650/,
Гараж,10.0,8.045,116541.0,СССР,1979.0,,,/film/44467/,
Разрисованная вуаль,10.0,7.913,123534.0,Китай,2006.0,"(34000000, '$')","['Наоми Уоттс', 'Эдвард Нортон', 'Лив Шрайбер', 'Дайана Ригг', 'Тоби Джонс', 'Катрин Эн', 'Ли Бинь', 'Бин Ву', 'Алан Дэвид', 'Мари-Лор Дикуру']",/film/102201/,
Мотылёк,10.0,7.514,107944.0,Испания,2017.0,,"['Чарли Ханнэм', 'Рами Малек', 'Роланд Мёллер', 'Йоэль Басман', 'Йорик ван Вагенинген', 'Майкл Соча', 'Кристофер Фэйрбэнк', 'Ив Хьюсон', 'Томми Флэнаган', 'Николас Асбари']",/film/939411/,
Шаг вперед 2: Улицы,10.0,7.285,101190.0,США,2008.0,"(22000000, '$')","['Бриана Эвиган', 'Роберт Хоффман', 'Блэк Томас', 'Даниэль Поланко', 'Уилл Кемп', 'Кэсси', 'Соня Сон', 'Ченнинг Татум', 'Адам Севани', 'Кристофер Скотт']",/film/310960/,
Купе номер 6,10.0,6.818,100973.0,Германия,2021.0,,['Сейди Хаарла'],/film/1346514/,
Бриджит Джонс: Грани разумного,10.0,7.156,99612.0,США,2004.0,"(40000000, '$')","['Рене Зеллвегер', 'Колин Фёрт', 'Хью Грант', 'Джемма Джонс', 'Джим Бродбент', 'Джеймс Фолкнер', 'Селия Имри', 'Доминик МакХейл', 'Дональд Дуглас', 'Ширли Диксон']",/film/48173/,
"Высоцкий. Спасибо, что живой",10.0,6.957,98748.0,Россия,2011.0,"(12000000, '$')",,/film/522036/,
Золото,10.0,7.214,105680.0,США,2016.0,"(20000000, '$')","['Мэттью МакКонахи', 'Эдгар Рамирес', 'Брайс Даллас Ховард', 'Кори Столл', 'Тоби Кеббелл', 'Билл Кэмп', 'Джошуа Харто', 'Тимоти С. Саймонс', 'Крэйг Т. Нельсон', 'Мэйкон Блэр']",/film/577255/,
Неадекватные люди 2,10.0,7.257,97720.0,Россия,2020.0,,,/film/1189859/,
Эрин Брокович,10.0,7.851,98264.0,США,2000.0,"(52000000, '$')","['Джулия Робертс', 'Альберт Финни', 'Аарон Экхарт', 'Питер Койот', 'Черри Джонс', 'Трейси Уолтер', 'Кончата Феррелл', 'Марг Хельгенбергер', 'Дэвид Брисбин', 'Доун Дидавик']",/film/661/,
